%time,field0,field1
1561004682947124004,28765.0,6235120.0
1561004682973817110,28764.0,6236144.0
1561004683023828029,28773.0,6235120.0
1561004683073832988,28770.0,6236144.0
1561004683123905897,28782.0,6235120.0
1561004683173908948,28768.0,6236144.0
1561004683223933935,28784.0,6236144.0
1561004683273864030,28754.0,6235120.0
1561004683323770046,28783.0,6235632.0
1561004683374011039,28774.0,6235120.0
1561004683424253940,28773.0,6234608.0
1561004683473932981,28780.0,6235632.0
1561004683500860929,28780.0,6234608.0
1561004683573956966,28776.0,6234608.0
1561004683623980998,28766.0,6235632.0
1561004683651196956,28784.0,6235632.0
1561004683700725078,28780.0,6235120.0
