Loop Time (ms)	IR (16 bit)	Force (N)
64	10815	1534.34
63	10800	1534.34
64	10786	1534.47
65	10774	1534.47
64	10759	1534.47
79	10746	1534.34
65	10730	1534.34
63	10716	1534.34
64	10722	1534.34
64	10724	1534.34
65	10726	1534.47
64	10727	1534.34
63	10724	1534.34
65	10728	1534.34
63	10728	1534.34
64	10724	1534.34
64	10724	1534.34
80	10727	1534.47
64	10723	1534.34
64	10727	1534.47
64	10727	1534.34
63	10726	1534.34
65	10726	1534.47
64	10724	1534.47
63	10726	1534.34
65	10723	1534.34
63	10728	1534.34
65	10727	1534.34
64	10724	1534.34
79	10730	1534.34
64	10729	1534.21
64	10730	1534.34
64	10725	1534.34
64	10730	1534.34
64	10727	1534.34
64	10726	1534.34
65	10729	1534.47
64	10722	1534.34
63	10728	1534.21
64	10728	1534.47
64	10729	1534.34
64	10726	1534.34
80	10721	1534.21
64	10729	1534.34
65	10727	1534.34
63	10728	1534.47
64	10725	1534.47
64	10726	1534.47
64	10731	1534.34
63	10730	1534.34
65	10728	1534.34
63	10723	1534.34
65	10727	1534.34
64	10726	1534.47
79	10726	1534.34
65	10727	1534.34
63	10728	1534.34
65	10729	1534.47
64	10725	1534.47
63	10727	1534.34
65	10726	1534.47
64	10735	1534.34
64	10726	1534.34
64	10727	1534.34
63	10730	1534.34
65	10726	1534.21
79	10725	1534.34
65	10732	1534.47
63	10728	1534.47
65	10729	1534.34
63	10729	1534.47
64	10729	1534.47
64	10727	1534.34
64	10731	1534.34
