Loop Time (ms)	IR (16 bit)	Force (N)
64	9658	1535.49
80	9663	1535.49
63	9672	1535.36
64	9682	1535.36
65	9690	1535.49
64	9693	1535.49
63	9708	1535.36
65	9713	1535.36
64	9721	1535.49
64	9730	1535.36
63	9736	1535.36
64	9742	1535.36
65	9757	1535.36
64	9767	1535.36
79	9772	1535.49
65	9788	1535.49
63	9791	1535.49
64	9805	1535.49
64	9813	1535.36
64	9828	1535.36
63	9837	1535.49
65	9845	1535.36
64	9857	1535.49
64	9872	1535.36
64	9886	1535.49
64	9896	1535.36
80	9913	1535.49
64	9921	1535.49
64	9936	1535.49
63	9949	1535.36
64	9963	1535.36
67	9978	1535.62
62	9991	1535.87
64	9996	1536.26
63	10011	1536.64
65	10018	1537.02
63	10027	1537.54
65	10031	1538.17
79	10038	1538.69
64	10044	1539.45
64	10047	1540.09
64	10054	1541.24
64	10051	1542.14
64	10047	1543.16
64	10038	1544.44
64	9996	1545.59
64	9947	1546.99
64	9865	1548.27
64	9732	1549.68
64	9554	1551.21
80	9475	1553
64	9364	1555.05
64	9251	1557.22
64	9117	1559.65
63	8957	1561.95
65	7733	1564.76
64	7185	1565.78
63	7274	1560.93
65	7347	1523.86
64	7530	1523.09
64	7594	1523.35
63	7621	1524.24
80	7647	1525.52
64	7657	1527.05
65	7653	1528.59
63	7647	1529.99
64	7638	1531.02
64	7634	1529.87
65	7638	1527.31
63	7636	1524.5
64	7633	1521.18
64	7623	1517.47
64	7612	1513.89
64	7592	1510.31
79	7573	1506.86
65	7551	1504.05
64	7533	1501.62
64	7515	1499.96
64	7490	1498.94
63	7457	1498.55
65	7410	1498.81
63	7294	1499.32
65	7184	1500.34
63	7099	1501.62
65	7053	1503.15
64	7048	1504.69
79	7045	1506.48
64	7067	1508.27
64	7089	1510.06
64	7123	1511.85
64	7164	1513.63
64	7213	1515.42
64	7253	1517.21
65	7291	1518.87
63	7332	1520.41
65	7373	1521.94
63	7429	1523.35
64	7546	1525.01
80	7696	1526.42
64	7856	1527.57
64	7959	1528.84
63	8018	1530.12
65	8080	1530.89
64	8146	1531.53
64	8214	1532.04
64	8267	1532.3
64	8313	1532.55
64	8361	1532.81
63	8420	1532.93
65	8488	1533.06
80	8530	1533.45
64	8562	1533.45
64	8586	1533.57
64	8604	1533.7
64	8624	1533.7
65	8638	1533.83
63	8655	1534.08
63	8666	1534.21
64	8673	1534.08
65	8681	1534.21
66	8694	1534.34
61	8691	1534.6
80	8701	1534.6
64	8711	1534.72
64	8708	1534.72
64	8735	1534.6
66	8735	1534.72
62	8742	1534.85
64	8754	1534.98
64	8760	1535.11
64	8773	1535.11
67	8782	1535.11
60	8786	1535.11
70	8792	1535.11
74	8796	1535.23
64	8812	1535.23
65	8808	1535.36
64	8817	1535.36
63	8824	1535.36
64	8822	1535.36
64	8827	1535.36
65	8836	1535.49
64	8847	1535.62
64	8861	1535.62
63	8869	1535.62
64	8878	1535.62
80	8885	1535.62
65	8898	1535.75
63	8909	1535.62
64	8923	1535.62
64	8942	1535.62
64	8948	1535.75
65	8955	1535.75
63	8971	1535.75
64	8980	1535.75
65	8980	1535.75
62	8986	1535.75
65	8991	1535.75
80	8993	1535.75
64	9003	1535.75
64	9004	1535.75
64	9004	1535.75
64	9013	1535.87
64	9018	1535.87
63	9021	1535.75
65	9026	1535.87
64	9031	1535.87
64	9038	1535.75
64	9044	1535.75
64	9040	1535.75
80	9053	1535.75
63	9065	1535.75
65	9065	1535.87
64	9074	1535.62
63	9078	1535.75
64	9085	1535.75
65	9089	1535.75
63	9094	1535.87
64	9095	1535.75
64	9103	1535.75
64	9112	1535.75
64	9114	1535.75
80	9124	1535.75
64	9134	1535.62
64	9145	1535.75
65	9147	1535.75
63	9151	1535.75
64	9158	1535.87
65	9160	1535.87
64	9165	1535.75
63	9168	1535.75
64	9178	1535.75
64	9186	1535.75
64	9188	1535.75
79	9187	1535.75
64	9199	1535.75
65	9201	1535.75
64	9203	1535.75
95	9208	1535.75
32	9216	1535.75
74	9229	1535.75
54	9225	1535.75
65	9229	1535.75
63	9238	1535.75
65	9238	1535.75
63	9246	1535.75
80	9249	1535.62
65	9255	1535.75
63	9259	1535.75
64	9257	1535.75
64	9264	1535.75
64	9271	1535.75
64	9275	1535.75
64	9280	1535.75
64	9281	1535.87
64	9284	1535.75
64	9296	1535.75
64	9298	1535.62
64	9302	1535.75
80	9302	1535.62
64	9313	1535.75
64	9317	1535.75
64	9314	1535.75
64	9319	1535.75
64	9324	1535.87
64	9327	1535.75
64	9330	1535.87
64	9332	1535.75
63	9333	1535.75
64	9338	1535.75
65	9341	1535.75
79	9348	1535.75
65	9344	1535.75
63	9353	1535.87
64	9354	1535.87
64	9355	1535.75
64	9358	1535.75
64	9365	1535.75
64	9367	1535.75
64	9360	1535.62
64	9373	1535.75
64	9372	1535.87
64	9382	1535.75
80	9380	1535.62
64	9387	1535.62
64	9382	1535.62
64	9388	1535.62
64	9391	1535.75
64	9387	1535.75
63	9392	1535.75
65	9395	1535.75
64	9402	1535.75
64	9407	1535.75
63	9407	1535.75
64	9409	1535.87
81	9406	1535.75
64	9417	1535.75
64	9413	1535.75
63	9414	1535.87
65	9417	1535.75
63	9424	1535.75
64	9427	1535.87
65	9438	1535.75
64	9440	1535.75
63	9446	1535.62
64	9450	1535.75
64	9458	1535.75
80	9459	1535.75
65	9471	1535.62
63	9481	1535.87
64	9489	1535.87
64	9493	1535.87
64	9497	1535.75
64	9506	1535.75
63	9512	1535.75
65	9517	1535.75
64	9522	1535.87
64	9529	1535.75
64	9538	1535.75
80	9546	1535.87
63	9553	1535.75
65	9558	1535.62
63	9557	1535.75
65	9568	1535.87
64	9575	1535.75
63	9580	1535.75
65	9593	1535.75
64	9602	1535.75
64	9604	1535.75
65	9612	1535.75
62	9620	1535.75
80	9625	1535.62
64	9636	1535.75
64	9642	1535.87
64	9647	1535.62
64	9657	1535.87
64	9664	1535.75
64	9674	1535.75
64	9682	1535.87
64	9690	1535.75
64	9697	1535.75
65	9707	1535.75
63	9718	1535.75
80	9723	1535.62
64	9735	1535.75
63	9746	1535.75
65	9758	1535.75
63	9759	1535.75
65	9775	1535.75
64	9790	1535.75
63	9796	1535.75
65	9808	1535.75
64	9813	1535.75
64	9829	1535.75
63	9837	1535.75
81	9852	1535.75
64	9863	1535.75
63	9874	1535.75
64	9889	1535.75
64	9906	1535.75
65	9915	1535.75
63	9935	1535.75
64	9948	1535.87
64	9955	1536
64	9967	1536.39
64	9977	1536.77
64	9987	1537.15
80	9998	1537.66
64	9999	1538.17
64	10007	1538.81
64	10012	1539.45
64	10018	1540.22
64	10021	1541.11
64	10026	1542.01
64	10022	1543.16
64	10011	1544.18
64	9979	1545.46
64	9942	1546.74
64	9867	1548.14
79	9756	1549.42
65	9568	1550.83
64	9486	1552.75
63	9394	1554.66
64	9277	1556.84
64	9149	1559.14
65	8991	1561.82
64	8402	1564.25
63	7219	1566.42
64	7259	1562.97
65	7316	1524.37
63	7466	1522.71
80	7575	1522.71
64	7610	1523.48
65	7632	1524.88
63	7642	1526.16
64	7646	1527.57
64	7639	1529.1
