Loop Time (ms)	IR (16 bit)	Force (N)
65	10511	1533.06
63	10511	1532.93
64	10512	1533.06
64	10515	1532.93
64	10511	1533.06
80	10511	1533.06
64	10510	1533.06
63	10509	1532.93
65	10510	1532.93
64	10514	1533.06
63	10512	1532.93
65	10515	1532.93
63	10515	1533.06
64	10514	1533.06
65	10510	1533.06
64	10516	1533.06
63	10513	1533.06
81	10515	1533.06
64	10514	1533.06
64	10514	1532.93
64	10514	1533.06
64	10532	1533.06
63	10541	1532.93
64	10560	1532.93
65	10574	1533.06
63	10587	1532.93
64	10603	1533.06
64	10622	1533.06
65	10639	1533.06
79	10652	1533.06
65	10667	1533.06
63	10684	1533.06
64	10705	1532.93
64	10722	1533.06
64	10741	1533.06
64	10767	1532.93
63	10780	1533.06
65	10800	1533.06
64	10821	1533.06
64	10849	1533.06
64	10868	1533.06
79	10895	1533.06
64	10922	1533.06
64	10942	1533.19
65	10969	1532.93
63	10995	1533.06
64	11028	1533.06
64	11054	1533.06
65	11086	1533.06
64	11116	1533.06
64	11144	1533.06
63	11177	1533.06
64	11204	1532.93
80	11240	1533.06
64	11271	1533.06
65	11307	1532.93
63	11344	1533.06
64	11379	1533.06
64	11417	1533.06
64	11457	1533.06
64	11502	1533.06
64	11544	1533.06
64	11586	1533.19
64	11630	1533.06
64	11681	1533.06
80	11726	1533.19
64	11770	1533.06
64	11827	1533.19
64	11869	1533.19
64	11926	1533.7
64	11981	1533.96
64	12022	1534.34
63	12085	1534.98
65	12152	1535.62
64	12218	1536.26
64	12300	1537.15
64	12384	1538.17
80	12482	1539.32
64	12589	1540.6
63	12705	1541.88
64	12816	1543.29
64	12918	1544.82
64	12988	1546.48
65	13007	1546.61
63	12982	1544.82
64	12861	1543.29
64	12711	1541.75
64	12588	1540.48
64	12485	1539.32
80	12394	1538.05
65	12310	1537.28
63	12236	1536.26
64	12169	1535.62
64	12107	1534.85
64	12040	1534.21
64	11989	1533.96
64	11942	1533.45
64	11901	1533.32
64	11852	1533.06
64	11799	1533.06
64	11748	1533.06
80	11704	1533.06
64	11656	1533.06
63	11608	1533.06
65	11569	1533.06
64	11521	1533.06
63	11484	1533.06
64	11451	1533.06
65	11421	1533.06
64	11384	1533.06
64	11341	1533.06
64	11312	1532.93
63	11283	1533.06
81	11244	1533.19
63	11216	1533.06
64	11182	1533.06
64	11150	1533.06
65	11124	1532.93
63	11098	1533.19
64	11064	1533.06
65	11041	1533.06
63	11015	1533.06
64	10986	1533.06
64	10965	1533.06
64	10945	1533.19
80	10916	1533.06
64	10893	1533.06
64	10873	1533.06
64	10849	1533.06
64	10825	1533.06
64	10807	1533.19
64	10785	1533.06
64	10766	1533.19
63	10748	1533.06
65	10730	1533.06
64	10711	1533.06
63	10700	1533.06
81	10679	1533.19
64	10665	1533.06
64	10651	1533.19
63	10637	1533.06
64	10623	1533.06
64	10610	1532.93
65	10589	1533.19
63	10579	1533.06
64	10570	1533.06
64	10554	1532.93
65	10556	1533.06
64	10562	1533.06
80	10564	1533.06
63	10563	1533.19
65	10565	1533.06
63	10564	1533.06
64	10567	1533.06
64	10565	1533.06
64	10567	1533.06
64	10566	1533.06
64	10566	1533.06
63	10566	1533.06
65	10566	1533.06
64	10569	1532.93
80	10569	1533.06
64	10564	1533.19
63	10569	1533.06
65	10568	1533.06
64	10568	1533.06
64	10568	1533.06
64	10565	1533.06
63	10569	1533.19
65	10570	1533.06
64	10566	1533.06
63	10572	1533.19
65	10568	1533.19
63	10569	1533.06
80	10571	1533.06
65	10567	1533.06
63	10570	1533.06
64	10572	1532.93
64	10570	1533.06
64	10572	1533.19
64	10573	1533.19
64	10571	1533.19
64	10572	1533.19
64	10567	1533.06
64	10575	1533.06
64	10574	1533.06
80	10569	1533.19
64	10572	1533.06
64	10568	1533.06
64	10574	1533.06
64	10569	1533.06
64	10574	1533.19
63	10575	1533.06
65	10572	1533.06
64	10570	1533.19
64	10575	1533.19
63	10574	1533.06
64	10574	1533.06
80	10580	1533.06
64	10577	1533.06
64	10572	1533.06
65	10576	1533.19
63	10575	1533.06
64	10573	1533.06
64	10577	1533.19
65	10578	1533.06
63	10578	1533.19
64	10577	1533.06
64	10572	1533.19
64	10580	1533.19
80	10575	1533.19
64	10576	1533.19
64	10583	1533.19
64	10575	1533.06
64	10575	1533.19
64	10578	1533.06
64	10577	1533.19
64	10578	1533.19
64	10576	1533.19
64	10578	1533.06
64	10581	1533.06
64	10579	1533.19
80	10583	1533.06
63	10585	1533.06
65	10581	1533.19
63	10582	1533.19
65	10583	1533.19
64	10579	1533.19
63	10578	1533.32
64	10578	1533.19
65	10585	1533.19
63	10581	1533.06
64	10586	1533.19
64	10582	1533.06
80	10579	1533.19
64	10579	1533.19
65	10583	1533.06
63	10583	1533.19
65	10585	1533.19
63	10581	1533.19
64	10579	1533.19
63	10582	1533.19
65	10589	1533.19
64	10611	1533.06
64	10618	1533.19
64	10633	1533.19
80	10651	1533.19
63	10667	1533.06
65	10680	1533.19
64	10699	1533.19
64	10713	1533.19
63	10728	1533.19
65	10746	1533.19
63	10767	1533.19
65	10788	1533.06
64	10806	1532.93
63	10820	1533.19
65	10839	1533.19
79	10873	1533.06
65	10889	1533.06
63	10908	1533.19
65	10936	1533.19
63	10963	1533.19
65	10982	1533.19
63	11007	1533.19
64	11036	1533.06
65	11066	1533.19
63	11094	1533.19
64	11123	1533.19
65	11149	1533.19
79	11179	1533.19
64	11204	1533.06
64	11239	1533.06
64	11276	1533.19
64	11301	1533.06
64	11337	1533.19
64	11372	1533.06
64	11409	1533.19
64	11444	1533.19
64	11483	1533.06
64	11516	1533.19
64	11564	1533.19
80	11612	1533.19
64	11655	1533.19
64	11701	1533.06
64	11749	1533.19
64	11795	1533.19
64	11843	1533.19
64	11898	1533.32
64	11943	1533.32
64	11991	1533.57
63	12047	1533.83
64	12096	1534.34
64	12154	1534.85
80	12216	1535.36
64	12283	1536.26
64	12358	1536.9
64	12441	1537.92
65	12539	1538.94
64	12644	1540.09
63	12760	1541.37
64	12881	1542.78
64	12984	1544.31
65	13076	1545.72
63	13110	1546.99
64	13108	1545.72
80	13036	1544.18
64	12876	1542.52
64	12738	1541.11
64	12632	1539.96
65	12528	1538.81
63	12440	1537.66
64	12356	1536.9
64	12280	1536
63	12211	1535.23
65	12155	1534.47
64	12103	1533.96
64	12045	1533.7
80	12000	1533.45
63	11949	1533.32
64	11901	1533.19
65	11852	1533.32
63	11795	1533.19
65	11752	1533.19
64	11703	1533.19
64	11660	1533.19
64	11613	1533.32
63	11573	1533.19
65	11531	1533.19
64	11490	1533.19
63	11452	1533.19
80	11416	1533.19
64	11377	1533.06
64	11345	1533.19
64	11312	1533.19
64	11280	1533.19
64	11247	1533.19
64	11216	1533.19
64	11190	1533.06
64	11161	1533.06
64	11133	1533.19
64	11102	1533.06
64	11070	1533.19
80	11041	1533.06
63	11017	1533.19
65	10997	1533.06
63	10969	1533.19
65	10950	1533.19
63	10923	1533.19
65	10909	1533.19
64	10879	1533.19
64	10850	1533.32
64	10835	1533.19
64	10822	1533.19
63	10797	1533.19
81	10779	1533.19
64	10758	1533.19
64	10747	1533.19
63	10729	1533.19
65	10709	1533.19
63	10695	1533.32
64	10680	1533.19
65	10663	1533.19
64	10652	1533.06
63	10637	1533.19
64	10625	1533.19
64	10609	1533.06
80	10599	1533.32
64	10582	1533.19
64	10596	1533.19
64	10602	1533.19
64	10599	1533.19
64	10598	1533.19
63	10594	1533.32
65	10599	1533.06
64	10603	1533.19
64	10599	1533.19
63	10597	1533.32
64	10598	1533.19
80	10597	1533.32
64	10602	1533.32
64	10600	1533.19
64	10602	1533.19
65	10598	1533.32
63	10598	1533.19
64	10600	1533.19
64	10596	1533.19
64	10599	1533.19
64	10597	1533.19
64	10604	1533.19
64	10600	1533.32
80	10605	1533.19
64	10601	1533.19
64	10600	1533.19
64	10605	1533.19
63	10602	1533.19
65	10604	1533.19
64	10600	1533.19
64	10604	1533.19
64	10601	1533.19
64	10602	1533.19
64	10601	1533.32
63	10604	1533.19
80	10606	1533.19
64	10607	1533.32
65	10602	1533.32
63	10602	1533.19
64	10603	1533.19
65	10602	1533.19
63	10600	1533.19
65	10602	1533.06
63	10605	1533.32
65	10606	1533.32
64	10607	1533.19
63	10605	1533.32
81	10606	1533.19
64	10605	1533.19
63	10605	1533.19
64	10607	1533.19
64	10602	1533.19
64	10603	1533.32
64	10606	1533.19
64	10608	1533.19
64	10605	1533.19
64	10604	1533.19
64	10607	1533.19
64	10606	1533.06
80	10605	1533.19
64	10604	1533.19
64	10607	1533.32
64	10608	1533.19
64	10608	1533.32
63	10605	1533.19
65	10607	1533.32
64	10609	1533.19
64	10609	1533.19
64	10608	1533.19
63	10606	1533.19
65	10606	1533.32
79	10603	1533.19
65	10607	1533.32
64	10612	1533.19
63	10608	1533.19
65	10608	1533.19
63	10608	1533.32
64	10606	1533.32
64	10607	1533.32
65	10611	1533.32
63	10611	1533.19
64	10611	1533.19
64	10608	1533.19
80	10608	1533.32
64	10610	1533.19
64	10611	1533.32
64	10613	1533.19
64	10611	1533.32
64	10609	1533.19
64	10609	1533.45
64	10611	1533.32
64	10610	1533.32
64	10611	1533.19
64	10610	1533.45
63	10611	1533.32
80	10613	1533.32
64	10620	1533.32
65	10638	1533.32
64	10652	1533.32
64	10663	1533.32
64	10675	1533.19
63	10692	1533.19
65	10710	1533.32
63	10723	1533.32
65	10741	1533.32
63	10764	1533.19
65	10775	1533.32
80	10793	1533.32
63	10810	1533.32
64	10831	1533.32
64	10854	1533.19
64	10876	1533.32
64	10895	1533.19
64	10913	1533.19
64	10945	1533.19
64	10961	1533.32
64	10985	1533.32
64	11012	1533.45
64	11040	1533.32
80	11066	1533.19
64	11088	1533.32
63	11116	1533.19
