Loop Time (ms)	IR (16 bit)	Force (N)
64	10907	1531.14
63	10946	1531.14
64	10978	1531.27
64	11014	1531.27
64	11057	1531.27
64	11096	1531.14
64	11138	1531.27
64	11189	1531.27
64	11228	1531.27
64	11273	1531.27
80	11319	1531.27
63	11369	1531.27
65	11412	1531.4
63	11449	1531.66
65	11497	1532.04
64	11545	1532.42
64	11594	1532.93
64	11660	1533.7
64	11718	1534.21
63	11789	1535.11
64	11872	1536
64	11970	1537.02
81	12074	1538.17
64	12182	1539.58
63	12284	1540.86
64	12374	1542.39
64	12439	1544.05
64	12463	1545.72
64	12461	1547.5
64	12454	1549.29
64	12457	1551.59
64	12470	1553.9
64	12503	1556.2
64	12579	1558.88
79	12677	1561.56
65	12811	1564.38
64	12949	1567.06
64	13065	1569.87
64	13204	1572.68
64	13381	1575.37
64	13548	1577.92
64	14019	1580.48
63	14514	1582.91
64	14803	1585.21
64	15113	1587.38
65	15376	1589.3
79	15633	1591.09
64	15866	1592.75
65	15930	1594.16
63	15974	1594.16
64	15996	1592.11
64	16058	1589.56
64	16112	1586.23
64	16093	1582.78
64	16063	1579.2
64	15972	1575.24
64	15880	1571.15
64	15761	1567.32
80	15600	1563.48
65	15342	1559.77
63	14956	1556.45
64	14442	1553.26
64	13709	1550.32
65	12739	1547.76
63	11861	1545.59
64	11256	1543.54
64	10819	1541.88
64	10499	1540.48
64	10255	1539.07
64	10076	1537.79
63	9908	1536.51
81	9833	1535.11
64	9831	1534.21
64	9827	1533.57
64	9842	1532.93
64	9868	1532.3
64	9892	1531.66
63	9914	1531.27
65	9938	1530.89
64	9972	1530.51
64	9993	1530.51
63	10008	1530.25
64	10025	1530.12
80	10037	1529.99
64	10047	1529.99
64	10055	1529.99
64	10031	1530.12
64	10030	1530.12
64	10023	1530.25
64	10013	1530.25
64	10012	1530.25
64	10017	1530.25
64	10027	1530.38
64	10030	1530.38
65	10029	1530.38
79	10019	1530.38
65	10009	1530.51
63	9996	1530.51
64	9985	1530.51
63	9968	1530.51
65	9955	1530.51
64	9942	1530.63
64	9923	1530.51
64	9910	1530.63
64	9895	1530.63
64	9884	1530.51
64	9870	1530.63
80	9856	1530.63
63	9843	1530.76
65	9835	1530.76
63	9822	1530.63
65	9810	1530.63
63	9809	1530.63
65	9809	1530.63
64	9801	1530.63
63	9795	1530.63
65	9790	1530.63
63	9787	1530.76
64	9780	1530.76
80	9775	1530.63
64	9772	1530.76
64	9759	1530.76
65	9756	1530.76
63	9755	1531.02
64	9740	1530.76
64	9743	1530.89
64	9735	1530.76
64	9732	1530.89
